Nom,Niveau de stress,Accompagnement tuteur,Intérêt missions,Difficulté tâches,Respect délais,Temps conciliation,Anxiété charge travail,Soutien équipe,Compétences nécessaires,Clarté objectifs,Remarque,Semaine
Tricia Valencia,6,Partiellement,3,Trop difficiles,Rarement,Non,Souvent,4,Non,Peu clairs,Truth say six agent create can audience watch.,19
Nathan Maldonado,10,Non,5,Trop difficiles,Toujours,Oui,Jamais,2,Non,Assez clairs,International friend turn deal forward fact issue economy condition.,19
Debra Davidson,7,Oui,3,Adaptées,Souvent,Oui,Parfois,3,Oui,Assez clairs,Choice turn task study head foot behind case team bit forget if court public.,19
Jeffrey Chavez,2,Non,4,Trop difficiles,Souvent,Oui,Souvent,1,Non,Peu clairs,Blood think particular customer to happy decade difficult item serious office late.,19
Sherri Baker,7,Non,4,Adaptées,Souvent,Non,Parfois,3,Non,Pas du tout clairs,Major thousand stay police cause hospital along industry believe.,19
Cassandra Gaines,1,Oui,4,Trop faciles,Souvent,Oui,Parfois,1,Non,Très clairs,State kitchen fight some wait business place heavy among just window close bag impact.,19
Elizabeth Fowler,5,Oui,1,Trop faciles,Toujours,Non,Jamais,5,Oui,Peu clairs,Charge out shake finally himself reach thought catch husband drug.,19
Brittany Farmer,4,Partiellement,3,Adaptées,Souvent,Non,Jamais,5,Oui,Peu clairs,Able me effort hour just despite stop let space thousand finally near large court expect.,19
Paula Moreno,1,Non,3,Adaptées,Souvent,Non,Souvent,1,Non,Assez clairs,Season pretty movie major night center support message.,19
Fred Smith,7,Oui,2,Trop difficiles,Rarement,Oui,Parfois,2,Non,Pas du tout clairs,Memory government process bring short lawyer lay bad worry.,19
Sherry Decker,6,Oui,3,Trop faciles,Souvent,Non,Jamais,4,Non,Très clairs,Officer goal feeling without simply concern create positive four throw culture something.,19
Anthony Humphrey,6,Oui,5,Trop faciles,Souvent,Oui,Parfois,3,Non,Assez clairs,International reach run time everything at save occur.,19
Angelica Tucker,7,Non,4,Trop difficiles,Rarement,Non,Parfois,5,Oui,Très clairs,Land their our stage part administration account spring work continue future.,19
Philip Cannon,3,Oui,3,Trop difficiles,Rarement,Non,Parfois,2,Non,Très clairs,School the deal likely area land parent body all.,19
John Pierce,9,Non,2,Adaptées,Toujours,Non,Souvent,4,Non,Très clairs,History sell care big customer campaign cover education religious.,19
Shane Henderson,3,Oui,5,Trop faciles,Toujours,Non,Jamais,2,Oui,Très clairs,Will item small message official discover business fear.,19
Joshua Blair,7,Non,2,Trop faciles,Souvent,Oui,Parfois,1,Non,Très clairs,Inside term choose food test create range along bring.,19
Eric Carney,3,Non,4,Adaptées,Toujours,Oui,Jamais,5,Non,Pas du tout clairs,News economy adult rest heart line expert.,19
bao,1,Non,5,Trop faciles,Toujours,Oui,Jamais,5,Oui,Très clairs,,1
bao,5,Oui,3,Trop faciles,Toujours,Oui,Jamais,3,Oui,Très clairs,,2
bao,5,Oui,3,Trop faciles,Toujours,Oui,Jamais,3,Oui,Très clairs,,3
